team,Data_Collected_At,rank,ELO
Frankreich,2026-05-24,1,1877.32
Spanien,2026-05-24,2,1876.40
Argentinien,2026-05-24,3,1874.81
England,2026-05-24,4,1825.97
Portugal,2026-05-24,5,1763.83
Brasilien,2026-05-24,6,1761.16
Niederlande,2026-05-24,7,1757.87
Marokko,2026-05-24,8,1755.87
Belgien,2026-05-24,9,1734.71
Deutschland,2026-05-24,10,1730.37
Kroatien,2026-05-24,11,1717.07
Kolumbien,2026-05-24,13,1693.09
Senegal,2026-05-24,14,1688.99
Mexiko,2026-05-24,15,1681.03
USA,2026-05-24,16,1673.13
Uruguay,2026-05-24,17,1673.07
Japan,2026-05-24,18,1660.43
Schweiz,2026-05-24,19,1649.40
Iran,2026-05-24,21,1615.30
Türkei,2026-05-24,22,1599.04
Ecuador,2026-05-24,23,1594.78
Österreich,2026-05-24,24,1593.45
Südkorea,2026-05-24,25,1588.66
Australien,2026-05-24,27,1580.67
Algerien,2026-05-24,28,1564.26
Ägypten,2026-05-24,29,1563.24
Kanada,2026-05-24,30,1556.48
Norwegen,2026-05-24,31,1550.94
Panama,2026-05-24,33,1540.64
Elfenbeinküste,2026-05-24,34,1532.98
Schweden,2026-05-24,38,1514.77
Paraguay,2026-05-24,40,1503.50
Tschechien,2026-05-24,41,1501.38
Schottland,2026-05-24,43,1498.35
Tunesien,2026-05-24,44,1483.05
DR Kongo,2026-05-24,46,1478.35
Usbekistan,2026-05-24,50,1465.34
Katar,2026-05-24,55,1454.96
Irak,2026-05-24,57,1447.14
Südafrika,2026-05-24,60,1429.73
Saudi-Arabien,2026-05-24,61,1421.43
Jordanien,2026-05-24,63,1391.45
Bosnien-Herzegowina,2026-05-24,65,1385.84
Kap Verde,2026-05-24,69,1366.13
Ghana,2026-05-24,74,1346.31
Curaçao,2026-05-24,82,1294.65
Haiti,2026-05-24,83,1291.71
Neuseeland,2026-05-24,85,1281.57
