Team_Slug,Team
agypten,Ägypten
algerien,Algerien
argentinien,Argentinien
australien,Australien
belgien,Belgien
bosnien-herzegowina,Bosnien-Herzegowina
brasilien,Brasilien
curacao,Curaçao
deutschland,Deutschland
dr-kongo,DR Kongo
ecuador,Ecuador
elfenbeinkuste,Elfenbeinküste
england,England
frankreich,Frankreich
ghana,Ghana
haiti,Haiti
irak,Irak
iran,Iran
japan,Japan
jordanien,Jordanien
kanada,Kanada
kap-verde,Kap Verde
katar,Katar
kolumbien,Kolumbien
kroatien,Kroatien
marokko,Marokko
mexiko,Mexiko
neuseeland,Neuseeland
niederlande,Niederlande
norwegen,Norwegen
osterreich,Österreich
panama,Panama
paraguay,Paraguay
portugal,Portugal
saudi-arabien,Saudi-Arabien
schottland,Schottland
schweden,Schweden
schweiz,Schweiz
senegal,Senegal
spanien,Spanien
sudafrika,Südafrika
sudkorea,Südkorea
tschechien,Tschechien
tunesien,Tunesien
turkei,Türkei
uruguay,Uruguay
usa,USA
usbekistan,Usbekistan
